id,name,stix_id,attack_id,attack_url,matrix,created_on,updated_on,attack_type,stix_type
1477,"Gather Victim Host Information",attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,T1592,https://attack.mitre.org/techniques/T1592,mitre-attack,"2022-10-20 14:15:03.663568","2022-10-20 14:15:03.663581",technique,attack-pattern
1478,"Digital Certificates",attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,T1596.003,https://attack.mitre.org/techniques/T1596/003,mitre-attack,"2022-10-20 14:15:03.664799","2022-10-20 14:15:03.664812",technique,attack-pattern
1479,Keylogging,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,https://attack.mitre.org/techniques/T1056/001,mitre-attack,"2022-10-20 14:15:03.665807","2022-10-20 14:15:03.665821",technique,attack-pattern
1480,"Linux and Mac File and Directory Permissions Modification",attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,T1222.002,https://attack.mitre.org/techniques/T1222/002,mitre-attack,"2022-10-20 14:15:03.667046","2022-10-20 14:15:03.667059",technique,attack-pattern
1481,"Password Guessing",attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,T1110.001,https://attack.mitre.org/techniques/T1110/001,mitre-attack,"2022-10-20 14:15:03.668045","2022-10-20 14:15:03.668060",technique,attack-pattern
1482,PubPrn,attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,T1216.001,https://attack.mitre.org/techniques/T1216/001,mitre-attack,"2022-10-20 14:15:03.669009","2022-10-20 14:15:03.669021",technique,attack-pattern
1483,"Purchase Technical Data",attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,T1597.002,https://attack.mitre.org/techniques/T1597/002,mitre-attack,"2022-10-20 14:15:03.670180","2022-10-20 14:15:03.670190",technique,attack-pattern
1484,"OS Credential Dumping",attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,T1003,https://attack.mitre.org/techniques/T1003,mitre-attack,"2022-10-20 14:15:03.671216","2022-10-20 14:15:03.671227",technique,attack-pattern
1485,"Shared Modules",attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,T1129,https://attack.mitre.org/techniques/T1129,mitre-attack,"2022-10-20 14:15:03.672262","2022-10-20 14:15:03.672280",technique,attack-pattern
1486,"Data from Configuration Repository",attack-pattern--0ad7bc5c-235a-4048-944b-3b286676cb74,T1602,https://attack.mitre.org/techniques/T1602,mitre-attack,"2022-10-20 14:15:03.673355","2022-10-20 14:15:03.673368",technique,attack-pattern
1487,"Disk Structure Wipe",attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9,T1561.002,https://attack.mitre.org/techniques/T1561/002,mitre-attack,"2022-10-20 14:15:03.674315","2022-10-20 14:15:03.674327",technique,attack-pattern
1488,"Direct Network Flood",attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3,T1498.001,https://attack.mitre.org/techniques/T1498/001,mitre-attack,"2022-10-20 14:15:03.675455","2022-10-20 14:15:03.675471",technique,attack-pattern
1489,"Path Interception by PATH Environment Variable",attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32,T1574.007,https://attack.mitre.org/techniques/T1574/007,mitre-attack,"2022-10-20 14:15:03.676595","2022-10-20 14:15:03.676611",technique,attack-pattern
1490,Sharepoint,attack-pattern--0c4b4fda-9062-47da-98b9-ceae2dcf052a,T1213.002,https://attack.mitre.org/techniques/T1213/002,mitre-attack,"2022-10-20 14:15:03.677525","2022-10-20 14:15:03.677535",technique,attack-pattern
1491,"Direct Volume Access",attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,T1006,https://attack.mitre.org/techniques/T1006,mitre-attack,"2022-10-20 14:15:03.678548","2022-10-20 14:15:03.678557",technique,attack-pattern
1492,"Email Hiding Rules",attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,T1564.008,https://attack.mitre.org/techniques/T1564/008,mitre-attack,"2022-10-20 14:15:03.679377","2022-10-20 14:15:03.679390",technique,attack-pattern
1493,"External Defacement",attack-pattern--0cfe31a7-81fc-472c-bc45-e2808d1066a3,T1491.002,https://attack.mitre.org/techniques/T1491/002,mitre-attack,"2022-10-20 14:15:03.680207","2022-10-20 14:15:03.680216",technique,attack-pattern
1494,"IP Addresses",attack-pattern--0dda99f0-4701-48ca-9774-8504922e92d3,T1590.005,https://attack.mitre.org/techniques/T1590/005,mitre-attack,"2022-10-20 14:15:03.681292","2022-10-20 14:15:03.681308",technique,attack-pattern
1495,"OS Exhaustion Flood",attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7,T1499.001,https://attack.mitre.org/techniques/T1499/001,mitre-attack,"2022-10-20 14:15:03.682356","2022-10-20 14:15:03.682370",technique,attack-pattern
1496,Rootkit,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,T1014,https://attack.mitre.org/techniques/T1014,mitre-attack,"2022-10-20 14:15:03.683351","2022-10-20 14:15:03.683363",technique,attack-pattern
1497,"PowerShell Profile",attack-pattern--0f2c410d-d740-4ed9-abb1-b8f4a7faf6c3,T1546.013,https://attack.mitre.org/techniques/T1546/013,mitre-attack,"2022-10-20 14:15:03.684337","2022-10-20 14:15:03.684348",technique,attack-pattern
1498,JavaScript,attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d,T1059.007,https://attack.mitre.org/techniques/T1059/007,mitre-attack,"2022-10-20 14:15:03.685186","2022-10-20 14:15:03.685195",technique,attack-pattern
1499,DNS,attack-pattern--0ff59227-8aa8-4c09-bf1f-925605bd07ea,T1590.002,https://attack.mitre.org/techniques/T1590/002,mitre-attack,"2022-10-20 14:15:03.686084","2022-10-20 14:15:03.686095",technique,attack-pattern
1500,"Audio Capture",attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967,T1123,https://attack.mitre.org/techniques/T1123,mitre-attack,"2022-10-20 14:15:03.686980","2022-10-20 14:15:03.686989",technique,attack-pattern
1501,"Create or Modify System Process",attack-pattern--106c0cf6-bf73-4601-9aa8-0945c2715ec5,T1543,https://attack.mitre.org/techniques/T1543,mitre-attack,"2022-10-20 14:15:03.687798","2022-10-20 14:15:03.687806",technique,attack-pattern
1502,"External Remote Services",attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,https://attack.mitre.org/techniques/T1133,mitre-attack,"2022-10-20 14:15:03.688697","2022-10-20 14:15:03.688706",technique,attack-pattern
1503,"LC_LOAD_DYLIB Addition",attack-pattern--10ff21b9-5a01-4268-a1b5-3b55015f1847,T1546.006,https://attack.mitre.org/techniques/T1546/006,mitre-attack,"2022-10-20 14:15:03.689535","2022-10-20 14:15:03.689546",technique,attack-pattern
1504,"Steal Web Session Cookie",attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff,T1539,https://attack.mitre.org/techniques/T1539,mitre-attack,"2022-10-20 14:15:03.690376","2022-10-20 14:15:03.690385",technique,attack-pattern
1505,"Container Orchestration Job",attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,T1053.007,https://attack.mitre.org/techniques/T1053/007,mitre-attack,"2022-10-20 14:15:03.691175","2022-10-20 14:15:03.691183",technique,attack-pattern
1506,"Domain Generation Algorithms",attack-pattern--118f61a5-eb3e-4fb6-931f-2096647f4ecd,T1568.002,https://attack.mitre.org/techniques/T1568/002,mitre-attack,"2022-10-20 14:15:03.691928","2022-10-20 14:15:03.691935",technique,attack-pattern
1507,"Double File Extension",attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e,T1036.007,https://attack.mitre.org/techniques/T1036/007,mitre-attack,"2022-10-20 14:15:03.693092","2022-10-20 14:15:03.693106",technique,attack-pattern
1508,"Bypass User Account Control",attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,T1548.002,https://attack.mitre.org/techniques/T1548/002,mitre-attack,"2022-10-20 14:15:03.694138","2022-10-20 14:15:03.694153",technique,attack-pattern
1509,"Internet Connection Discovery",attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc,T1016.001,https://attack.mitre.org/techniques/T1016/001,mitre-attack,"2022-10-20 14:15:03.695209","2022-10-20 14:15:03.695221",technique,attack-pattern
1510,"Sudo and Sudo Caching",attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,T1548.003,https://attack.mitre.org/techniques/T1548/003,mitre-attack,"2022-10-20 14:15:03.696511","2022-10-20 14:15:03.696524",technique,attack-pattern
1511,"Archive via Custom Method",attack-pattern--143c0cbb-a297-4142-9624-87ffc778980b,T1560.003,https://attack.mitre.org/techniques/T1560/003,mitre-attack,"2022-10-20 14:15:03.698799","2022-10-20 14:15:03.698814",technique,attack-pattern
1512,"Modify Cloud Compute Infrastructure",attack-pattern--144e007b-e638-431d-a894-45d90c54ab90,T1578,https://attack.mitre.org/techniques/T1578,mitre-attack,"2022-10-20 14:15:03.699713","2022-10-20 14:15:03.699724",technique,attack-pattern
1513,"Permission Groups Discovery",attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,T1069,https://attack.mitre.org/techniques/T1069,mitre-attack,"2022-10-20 14:15:03.700723","2022-10-20 14:15:03.700738",technique,attack-pattern
1514,"Email Collection",attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,T1114,https://attack.mitre.org/techniques/T1114,mitre-attack,"2022-10-20 14:15:03.701888","2022-10-20 14:15:03.701903",technique,attack-pattern
1515,"Security Account Manager",attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,T1003.002,https://attack.mitre.org/techniques/T1003/002,mitre-attack,"2022-10-20 14:15:03.702923","2022-10-20 14:15:03.702935",technique,attack-pattern
1516,WHOIS,attack-pattern--166de1c6-2814-4fe5-8438-4e80f76b169f,T1596.002,https://attack.mitre.org/techniques/T1596/002,mitre-attack,"2022-10-20 14:15:03.704116","2022-10-20 14:15:03.704132",technique,attack-pattern
1517,"System Firmware",attack-pattern--16ab6452-c3c1-497c-a47d-206018ca1ada,T1542.001,https://attack.mitre.org/techniques/T1542/001,mitre-attack,"2022-10-20 14:15:03.705426","2022-10-20 14:15:03.705440",technique,attack-pattern
1518,"Search Victim-Owned Websites",attack-pattern--16cdd21f-da65-4e4f-bc04-dd7d198c7b26,T1594,https://attack.mitre.org/techniques/T1594,mitre-attack,"2022-10-20 14:15:03.706546","2022-10-20 14:15:03.706563",technique,attack-pattern
1519,"Cloud Groups",attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2,T1069.003,https://attack.mitre.org/techniques/T1069/003,mitre-attack,"2022-10-20 14:15:03.707512","2022-10-20 14:15:03.707524",technique,attack-pattern
1520,"Services Registry Permissions Weakness",attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c,T1574.011,https://attack.mitre.org/techniques/T1574/011,mitre-attack,"2022-10-20 14:15:03.708405","2022-10-20 14:15:03.708417",technique,attack-pattern
1521,"DNS/Passive DNS",attack-pattern--17fd695c-b88c-455a-a3d1-43b6cb728532,T1596.001,https://attack.mitre.org/techniques/T1596/001,mitre-attack,"2022-10-20 14:15:03.709769","2022-10-20 14:15:03.709785",technique,attack-pattern
1522,"Application Exhaustion Flood",attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9,T1499.003,https://attack.mitre.org/techniques/T1499/003,mitre-attack,"2022-10-20 14:15:03.710963","2022-10-20 14:15:03.710975",technique,attack-pattern
1523,"Compromise Software Dependencies and Development Tools",attack-pattern--191cc6af-1bb2-4344-ab5f-28e496638720,T1195.001,https://attack.mitre.org/techniques/T1195/001,mitre-attack,"2022-10-20 14:15:03.712240","2022-10-20 14:15:03.712257",technique,attack-pattern
1524,"Digital Certificates",attack-pattern--19401639-28d0-4c3c-adcc-bc2ba22f6421,T1588.004,https://attack.mitre.org/techniques/T1588/004,mitre-attack,"2022-10-20 14:15:03.713511","2022-10-20 14:15:03.713525",technique,attack-pattern
1525,"DNS Server",attack-pattern--197ef1b9-e764-46c3-b96c-23f77985dc81,T1583.002,https://attack.mitre.org/techniques/T1583/002,mitre-attack,"2022-10-20 14:15:03.714827","2022-10-20 14:15:03.714841",technique,attack-pattern
1526,"Disk Wipe",attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967,T1561,https://attack.mitre.org/techniques/T1561,mitre-attack,"2022-10-20 14:15:03.716075","2022-10-20 14:15:03.716090",technique,attack-pattern
1527,DNS,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,T1071.004,https://attack.mitre.org/techniques/T1071/004,mitre-attack,"2022-10-20 14:15:03.717023","2022-10-20 14:15:03.717036",technique,attack-pattern
1528,"Cloud Instance Metadata API",attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3,T1552.005,https://attack.mitre.org/techniques/T1552/005,mitre-attack,"2022-10-20 14:15:03.718091","2022-10-20 14:15:03.718104",technique,attack-pattern
1529,"Securityd Memory",attack-pattern--1a80d097-54df-41d8-9d33-34e755ec5e72,T1555.002,https://attack.mitre.org/techniques/T1555/002,mitre-attack,"2022-10-20 14:15:03.719163","2022-10-20 14:15:03.719178",technique,attack-pattern
1530,"Group Policy Discovery",attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b,T1615,https://attack.mitre.org/techniques/T1615,mitre-attack,"2022-10-20 14:15:03.720120","2022-10-20 14:15:03.720136",technique,attack-pattern
1531,Bootkit,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,https://attack.mitre.org/techniques/T1542/003,mitre-attack,"2022-10-20 14:15:03.721503","2022-10-20 14:15:03.721519",technique,attack-pattern
1532,"Data from Removable Media",attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,T1025,https://attack.mitre.org/techniques/T1025,mitre-attack,"2022-10-20 14:15:03.722665","2022-10-20 14:15:03.722680",technique,attack-pattern
1533,Mavinject,attack-pattern--1bae753e-8e52-4055-a66d-2ead90303ca9,T1218.013,https://attack.mitre.org/techniques/T1218/013,mitre-attack,"2022-10-20 14:15:03.723793","2022-10-20 14:15:03.723808",technique,attack-pattern
1534,"Local Data Staging",attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c,T1074.001,https://attack.mitre.org/techniques/T1074/001,mitre-attack,"2022-10-20 14:15:03.724944","2022-10-20 14:15:03.724954",technique,attack-pattern
1535,"Match Legitimate Name or Location",attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,T1036.005,https://attack.mitre.org/techniques/T1036/005,mitre-attack,"2022-10-20 14:15:03.726028","2022-10-20 14:15:03.726039",technique,attack-pattern
1536,"Digital Certificates",attack-pattern--1cec9319-743b-4840-bb65-431547bce82a,T1587.003,https://attack.mitre.org/techniques/T1587/003,mitre-attack,"2022-10-20 14:15:03.727064","2022-10-20 14:15:03.727079",technique,attack-pattern
1537,"Stored Data Manipulation",attack-pattern--1cfcb312-b8d7-47a4-b560-4b16cc677292,T1565.001,https://attack.mitre.org/techniques/T1565/001,mitre-attack,"2022-10-20 14:15:03.727960","2022-10-20 14:15:03.727970",technique,attack-pattern
1538,"Password Cracking",attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d,T1110.002,https://attack.mitre.org/techniques/T1110/002,mitre-attack,"2022-10-20 14:15:03.728859","2022-10-20 14:15:03.728871",technique,attack-pattern
1539,"Local Email Collection",attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004,T1114.001,https://attack.mitre.org/techniques/T1114/001,mitre-attack,"2022-10-20 14:15:03.729686","2022-10-20 14:15:03.729696",technique,attack-pattern
1540,Keychain,attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3,T1555.001,https://attack.mitre.org/techniques/T1555/001,mitre-attack,"2022-10-20 14:15:03.730501","2022-10-20 14:15:03.730510",technique,attack-pattern
1541,"Boot or Logon Autostart Execution",attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf,T1547,https://attack.mitre.org/techniques/T1547,mitre-attack,"2022-10-20 14:15:03.731450","2022-10-20 14:15:03.731490",technique,attack-pattern
1542,"LSA Secrets",attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc,T1003.004,https://attack.mitre.org/techniques/T1003/004,mitre-attack,"2022-10-20 14:15:03.732720","2022-10-20 14:15:03.732738",technique,attack-pattern
1543,"Weaken Encryption",attack-pattern--1f9012ef-1e10-4e48-915e-e03563435fe8,T1600,https://attack.mitre.org/techniques/T1600,mitre-attack,"2022-10-20 14:15:03.733648","2022-10-20 14:15:03.733661",technique,attack-pattern
1544,"SAML Tokens",attack-pattern--1f9c2bae-b441-4f66-a8af-b65946ee72f2,T1606.002,https://attack.mitre.org/techniques/T1606/002,mitre-attack,"2022-10-20 14:15:03.734568","2022-10-20 14:15:03.734579",technique,attack-pattern
1545,"Service Stop",attack-pattern--20fb2507-d71c-455d-9b6d-6104461cf26b,T1489,https://attack.mitre.org/techniques/T1489,mitre-attack,"2022-10-20 14:15:03.735401","2022-10-20 14:15:03.735411",technique,attack-pattern
1546,Malware,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0,T1587.001,https://attack.mitre.org/techniques/T1587/001,mitre-attack,"2022-10-20 14:15:03.736269","2022-10-20 14:15:03.736279",technique,attack-pattern
1547,"Domain Account",attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af,T1087.002,https://attack.mitre.org/techniques/T1087/002,mitre-attack,"2022-10-20 14:15:03.737303","2022-10-20 14:15:03.737317",technique,attack-pattern
1548,"Active Setup",attack-pattern--22522668-ddf6-470b-a027-9d6866679f67,T1547.014,https://attack.mitre.org/techniques/T1547/014,mitre-attack,"2022-10-20 14:15:03.738228","2022-10-20 14:15:03.738239",technique,attack-pattern
1549,"Hide Artifacts",attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,T1564,https://attack.mitre.org/techniques/T1564,mitre-attack,"2022-10-20 14:15:03.739299","2022-10-20 14:15:03.739314",technique,attack-pattern
1550,"Dynamic Data Exchange",attack-pattern--232a7e42-cd6e-4902-8fe9-2960f529dd4d,T1559.002,https://attack.mitre.org/techniques/T1559/002,mitre-attack,"2022-10-20 14:15:03.740277","2022-10-20 14:15:03.740291",technique,attack-pattern
1551,"Malicious File",attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,T1204.002,https://attack.mitre.org/techniques/T1204/002,mitre-attack,"2022-10-20 14:15:03.741788","2022-10-20 14:15:03.741812",technique,attack-pattern
1552,"Identify Business Tempo",attack-pattern--2339cf19-8f1e-48f7-8a91-0262ba547b6f,T1591.003,https://attack.mitre.org/techniques/T1591/003,mitre-attack,"2022-10-20 14:15:03.743363","2022-10-20 14:15:03.743383",technique,attack-pattern
1553,Hardware,attack-pattern--24286c33-d4a4-4419-85c2-1d094a896c26,T1592.001,https://attack.mitre.org/techniques/T1592/001,mitre-attack,"2022-10-20 14:15:03.745412","2022-10-20 14:15:03.745429",technique,attack-pattern
1554,"Taint Shared Content",attack-pattern--246fd3c7-f5e3-466d-8787-4c13d9e3b61c,T1080,https://attack.mitre.org/techniques/T1080,mitre-attack,"2022-10-20 14:15:03.746577","2022-10-20 14:15:03.746591",technique,attack-pattern
1555,"Domain Trust Modification",attack-pattern--24769ab5-14bd-4f4e-a752-cfb185da53ee,T1484.002,https://attack.mitre.org/techniques/T1484/002,mitre-attack,"2022-10-20 14:15:03.747886","2022-10-20 14:15:03.747901",technique,attack-pattern
1556,"Symmetric Cryptography",attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,T1573.001,https://attack.mitre.org/techniques/T1573/001,mitre-attack,"2022-10-20 14:15:03.749445","2022-10-20 14:15:03.749458",technique,attack-pattern
1557,"Local Account",attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e,T1087.001,https://attack.mitre.org/techniques/T1087/001,mitre-attack,"2022-10-20 14:15:03.752429","2022-10-20 14:15:03.752444",technique,attack-pattern
1558,"Social Media Accounts",attack-pattern--274770e0-2612-4ccf-a678-ef8e7bad365d,T1586.001,https://attack.mitre.org/techniques/T1586/001,mitre-attack,"2022-10-20 14:15:03.753612","2022-10-20 14:15:03.753625",technique,attack-pattern
1559,"Safe Mode Boot",attack-pattern--28170e17-8384-415c-8486-2e6b294cb803,T1562.009,https://attack.mitre.org/techniques/T1562/009,mitre-attack,"2022-10-20 14:15:03.754944","2022-10-20 14:15:03.754959",technique,attack-pattern
1560,"TFTP Boot",attack-pattern--28abec6c-4443-4b03-8206-07f2e264a6b4,T1542.005,https://attack.mitre.org/techniques/T1542/005,mitre-attack,"2022-10-20 14:15:03.756000","2022-10-20 14:15:03.756013",technique,attack-pattern
1561,"Windows Service",attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,T1543.003,https://attack.mitre.org/techniques/T1543/003,mitre-attack,"2022-10-20 14:15:03.757169","2022-10-20 14:15:03.757182",technique,attack-pattern
1562,"Fast Flux DNS",attack-pattern--29ba5a15-3b7b-4732-b817-65ea8f6468e6,T1568.001,https://attack.mitre.org/techniques/T1568/001,mitre-attack,"2022-10-20 14:15:03.758559","2022-10-20 14:15:03.758573",technique,attack-pattern
1563,"System Checks",attack-pattern--29be378d-262d-4e99-b00d-852d573628e6,T1497.001,https://attack.mitre.org/techniques/T1497/001,mitre-attack,"2022-10-20 14:15:03.759724","2022-10-20 14:15:03.759742",technique,attack-pattern
1564,Cron,attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c,T1053.003,https://attack.mitre.org/techniques/T1053/003,mitre-attack,"2022-10-20 14:15:03.760869","2022-10-20 14:15:03.760883",technique,attack-pattern
1565,"Domain Groups",attack-pattern--2aed01ad-3df3-4410-a8cb-11ea4ded587c,T1069.002,https://attack.mitre.org/techniques/T1069/002,mitre-attack,"2022-10-20 14:15:03.761798","2022-10-20 14:15:03.761810",technique,attack-pattern
1566,Vulnerabilities,attack-pattern--2b5aa86b-a0df-4382-848d-30abea443327,T1588.006,https://attack.mitre.org/techniques/T1588/006,mitre-attack,"2022-10-20 14:15:03.762958","2022-10-20 14:15:03.762973",technique,attack-pattern
1567,"Spearphishing Link",attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,T1566.002,https://attack.mitre.org/techniques/T1566/002,mitre-attack,"2022-10-20 14:15:03.766278","2022-10-20 14:15:03.766291",technique,attack-pattern
1568,"Clear Linux or Mac System Logs",attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36,T1070.002,https://attack.mitre.org/techniques/T1070/002,mitre-attack,"2022-10-20 14:15:03.767323","2022-10-20 14:15:03.767336",technique,attack-pattern
1569,"Application or System Exploitation",attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0,T1499.004,https://attack.mitre.org/techniques/T1499/004,mitre-attack,"2022-10-20 14:15:03.770674","2022-10-20 14:15:03.770694",technique,attack-pattern
1570,"Office Application Startup",attack-pattern--2c4d4e92-0ccf-4a97-b54c-86d662988a53,T1137,https://attack.mitre.org/techniques/T1137,mitre-attack,"2022-10-20 14:15:03.771656","2022-10-20 14:15:03.771668",technique,attack-pattern
1571,InstallUtil,attack-pattern--2cd950a6-16c4-404a-aa01-044322395107,T1218.004,https://attack.mitre.org/techniques/T1218/004,mitre-attack,"2022-10-20 14:15:03.772863","2022-10-20 14:15:03.772881",technique,attack-pattern
1572,"Spearphishing Link",attack-pattern--2d3f5b3c-54ca-4f4d-bb1f-849346d31230,T1598.003,https://attack.mitre.org/techniques/T1598/003,mitre-attack,"2022-10-20 14:15:03.774015","2022-10-20 14:15:03.774029",technique,attack-pattern
1573,SSH,attack-pattern--2db31dcd-54da-405d-acef-b9129b816ed6,T1021.004,https://attack.mitre.org/techniques/T1021/004,mitre-attack,"2022-10-20 14:15:03.775835","2022-10-20 14:15:03.775851",technique,attack-pattern
1574,"Additional Cloud Roles",attack-pattern--2dbbdcd5-92cf-44c0-aea2-fe24783a6bc3,T1098.003,https://attack.mitre.org/techniques/T1098/003,mitre-attack,"2022-10-20 14:15:03.776835","2022-10-20 14:15:03.776847",technique,attack-pattern
